,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes,clusterQuality,atBestFreq,laserResponse,HighAmpSS,LowAmpSS,HighPeakLoc,LowPeakLoc,HighPeakSR,LowPeakSR
762,"['band003_am_tuning_curve_20160823l.h5', 'band003_am_tuning_curve_20160823m.h5', 'band003_bandwidth_am_20160823n.h5']",2,2016-08-23,1070,"['2016-08-23_13-16-42', '2016-08-23_13-22-04', '2016-08-23_13-38-29']",1.0255412579,71963,"['AM', 'tuningCurve', 'bandwidth']",band003,6,"[2, 4, 5, 6]",1,0.0,0.0,0.291600096829,0.401234567901,1.0,0.25,44.4193548387,43.2
778,"[None, 'band003_am_tuning_curve_20160823o.h5', 'band003_am_tuning_curve_20160823p.h5', None]",4,2016-08-23,1120,"['2016-08-23_14-02-13', '2016-08-23_14-04-45', '2016-08-23_14-15-23', '2016-08-23_14-23-41']",0.3055508403,5892,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,4,"[2, 3, 4, 5, 6]",1,,,,,,,,
782,"[None, 'band003_am_tuning_curve_20160823o.h5', 'band003_am_tuning_curve_20160823p.h5', None]",2,2016-08-23,1120,"['2016-08-23_14-02-13', '2016-08-23_14-04-45', '2016-08-23_14-15-23', '2016-08-23_14-23-41']",0.3009027081,6980,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,5,"[2, 3, 4, 5, 6]",1,,,,,,,,
785,"[None, 'band003_am_tuning_curve_20160823o.h5', 'band003_am_tuning_curve_20160823p.h5', None]",5,2016-08-23,1120,"['2016-08-23_14-02-13', '2016-08-23_14-04-45', '2016-08-23_14-15-23', '2016-08-23_14-23-41']",0.1040221914,2885,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,5,"[2, 3, 4, 5, 6]",1,,,,,,,,
790,"[None, 'band003_am_tuning_curve_20160823o.h5', 'band003_am_tuning_curve_20160823p.h5', None]",4,2016-08-23,1120,"['2016-08-23_14-02-13', '2016-08-23_14-04-45', '2016-08-23_14-15-23', '2016-08-23_14-23-41']",0.0,3968,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band003,6,"[2, 3, 4, 5, 6]",1,,,,,,,,
795,"[None, 'band003_am_tuning_curve_20160824a.h5']",4,2016-08-24,860,"['2016-08-24_12-08-14', '2016-08-24_12-10-04']",0.0,40,"['noisebursts', 'tuningCurve']",band003,2,[2],1,,,,,,,,
806,"[None, None, None, None]",6,2016-08-29,678,"['2016-08-29_12-35-11', '2016-08-29_12-37-03', '2016-08-29_12-40-41', '2016-08-29_12-44-49']",0.2551020408,393,"['noisebursts', 'laserPulse', 'laserPulse', 'laserTrain']",band004,2,"[1, 2, 4]",1,,,,,,,,
819,[None],2,2016-08-29,686,['2016-08-29_12-51-11'],0.0,164,['laserPulse'],band004,4,"[1, 2, 4]",1,,,,,,,,
820,[None],3,2016-08-29,686,['2016-08-29_12-51-11'],0.0,211,['laserPulse'],band004,4,"[1, 2, 4]",1,,,,,,,,
865,"[None, None, None, 'band004_am_tuning_curve_20160829a.h5', 'band004_am_tuning_curve_20160829b.h5', 'band004_bandwidth_am_20160829c.h5']",3,2016-08-29,832,"['2016-08-29_13-27-15', '2016-08-29_13-29-46', '2016-08-29_13-31-54', '2016-08-29_13-34-14', '2016-08-29_13-46-06', '2016-08-29_13-53-50']",0.1715265866,4082,"['laserPulse2.5', 'longLaserPulse2.5', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band004,4,"[1, 2, 4, 6]",1,0.0,0.0,0.522727272727,0.549152542373,1.0,2.0,1.46666666667,9.83333333333
881,"[None, None, None, 'band004_am_tuning_curve_20160829d.h5', 'band004_am_tuning_curve_20160829e.h5', 'band004_bandwidth_am_20160829f.h5']",2,2016-08-29,884,"['2016-08-29_14-15-29', '2016-08-29_14-18-16', '2016-08-29_14-20-02', '2016-08-29_14-22-28', '2016-08-29_14-33-05', '2016-08-29_14-40-13']",0.0427899016,4675,"['laserPulse2.5', 'longLaserPulse2.5', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band004,2,"[1, 2, 3, 4, 6]",1,0.0,1.0,0.658088235294,0.0588235294118,0.0,0.0,0.548387096774,0.53125
956,"[None, None, 'band004_am_tuning_curve_20160830d.h5', 'band004_am_tuning_curve_20160830e.h5', 'band004_bandwidth_am_20160830f.h5', None, None]",3,2016-08-30,1030,"['2016-08-30_12-52-02', '2016-08-30_12-55-28', '2016-08-30_12-57-53', '2016-08-30_13-13-27', '2016-08-30_13-20-15', '2016-08-30_13-43-59', '2016-08-30_13-47-25']",0.1367166138,18287,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band004,2,"[2, 4, 6]",1,0.0,0.0,0.0520833333333,0.173134328358,0.0,0.0,8.0,9.30555555556
968,"[None, None, 'band004_am_tuning_curve_20160830d.h5', 'band004_am_tuning_curve_20160830e.h5', 'band004_bandwidth_am_20160830f.h5', None, None]",4,2016-08-30,1030,"['2016-08-30_12-52-02', '2016-08-30_12-55-28', '2016-08-30_12-57-53', '2016-08-30_13-13-27', '2016-08-30_13-20-15', '2016-08-30_13-43-59', '2016-08-30_13-47-25']",0.0302663438,16521,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band004,6,"[2, 4, 6]",1,1.0,0.0,0.0,0.555555555556,0.0,0.0,0.277777777778,0.25
978,"[None, None]",6,2016-08-30,1091,"['2016-08-30_13-54-58', '2016-08-30_13-57-50']",0.0,976,"['laserPulse', 'laserTrain']",band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
984,"[None, None]",4,2016-08-30,1091,"['2016-08-30_13-54-58', '2016-08-30_13-57-50']",0.0,935,"['laserPulse', 'laserTrain']",band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
998,"[None, None, None, 'band004_am_tuning_curve_20160830g.h5', 'band004_am_tuning_curve_20160830h.h5', 'band004_bandwidth_am_20160830i.h5', None]",4,2016-08-30,1092,"['2016-08-30_13-59-33', '2016-08-30_14-01-58', '2016-08-30_14-05-57', '2016-08-30_14-09-01', '2016-08-30_14-19-53', '2016-08-30_14-26-48', '2016-08-30_14-50-09']",0.0267827251,14936,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse']",band004,2,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.156736596737,0.0082304526749,0.25,0.0,7.23684210526,6.39473684211
999,"[None, None, None, 'band004_am_tuning_curve_20160830g.h5', 'band004_am_tuning_curve_20160830h.h5', 'band004_bandwidth_am_20160830i.h5', None]",5,2016-08-30,1092,"['2016-08-30_13-59-33', '2016-08-30_14-01-58', '2016-08-30_14-05-57', '2016-08-30_14-09-01', '2016-08-30_14-19-53', '2016-08-30_14-26-48', '2016-08-30_14-50-09']",0.1459563458,15074,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse']",band004,2,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.0908270133622,0.0877192982456,0.25,0.25,7.47368421053,6.46153846154
1023,[None],4,2016-08-30,1150,['2016-08-30_15-01-06'],0.0,804,['laserPulse'],band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1024,[None],5,2016-08-30,1150,['2016-08-30_15-01-06'],0.2239641657,894,['laserPulse'],band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1033,[None],5,2016-08-30,1150,['2016-08-30_15-01-06'],0.0,449,['laserPulse'],band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1035,[None],2,2016-08-30,1150,['2016-08-30_15-01-06'],0.0,365,['laserPulse'],band004,6,"[1, 2, 3, 4, 6]",1,,,,,,,,
1042,"[None, None, None, 'band004_am_tuning_curve_20160830j.h5', 'band004_am_tuning_curve_20160830k.h5', 'band004_bandwidth_am_20160830l.h5', None, 'band004_bandwidth_am_20160830m.h5', None]",4,2016-08-30,1200,"['2016-08-30_15-14-13', '2016-08-30_15-17-42', '2016-08-30_15-22-05', '2016-08-30_15-26-21', '2016-08-30_15-36-56', '2016-08-30_15-47-01', '2016-08-30_16-05-26', '2016-08-30_16-10-21', '2016-08-30_16-31-43']",0.0,2071,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'bandwidth', 'laserPulse']",band004,1,"[1, 2, 4, 5, 6]",1,0.0,0.0,0.571428571429,0.787878787879,1.0,0.5,1.86666666667,3.3
1064,"[None, None, None, 'band004_am_tuning_curve_20160830j.h5', 'band004_am_tuning_curve_20160830k.h5', 'band004_bandwidth_am_20160830l.h5', None, 'band004_bandwidth_am_20160830m.h5', None]",4,2016-08-30,1200,"['2016-08-30_15-14-13', '2016-08-30_15-17-42', '2016-08-30_15-22-05', '2016-08-30_15-26-21', '2016-08-30_15-36-56', '2016-08-30_15-47-01', '2016-08-30_16-05-26', '2016-08-30_16-10-21', '2016-08-30_16-31-43']",0.0319437789,12523,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'bandwidth', 'laserPulse']",band004,6,"[1, 2, 4, 5, 6]",1,1.0,0.0,0.437246963563,0.280487804878,0.5,0.0,8.23333333333,5.46666666667
1065,"[None, None, None, 'band004_am_tuning_curve_20160830j.h5', 'band004_am_tuning_curve_20160830k.h5', 'band004_bandwidth_am_20160830l.h5', None, 'band004_bandwidth_am_20160830m.h5', None]",5,2016-08-30,1200,"['2016-08-30_15-14-13', '2016-08-30_15-17-42', '2016-08-30_15-22-05', '2016-08-30_15-26-21', '2016-08-30_15-36-56', '2016-08-30_15-47-01', '2016-08-30_16-05-26', '2016-08-30_16-10-21', '2016-08-30_16-31-43']",0.2864540296,18154,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'bandwidth', 'laserPulse']",band004,6,"[1, 2, 4, 5, 6]",1,0.0,0.0,0.0,0.379807692308,inf,2.0,7.13333333333,6.93333333333
1073,"[None, None]",2,2016-08-31,890,"['2016-08-31_11-54-56', '2016-08-31_11-57-24']",0.0,430,"['laserPulse2.5', 'laserPulse']",band004,6,"[2, 4, 6]",1,,,,,,,,
1088,"[None, None]",2,2016-08-31,979,"['2016-08-31_12-21-06', '2016-08-31_12-24-11']",0.0490918017,2038,"['laserPulse', 'laserTrain']",band004,4,"[2, 4, 6]",1,,,,,,,,
1090,"[None, None]",4,2016-08-31,979,"['2016-08-31_12-21-06', '2016-08-31_12-24-11']",0.0,710,"['laserPulse', 'laserTrain']",band004,4,"[2, 4, 6]",1,,,,,,,,
1121,"[None, None, None, 'band004_am_tuning_curve_20160831d.h5', 'band004_am_tuning_curve_20160831e.h5', 'band004_bandwidth_am_20160831f.h5', None, None]",2,2016-08-31,1075,"['2016-08-31_13-35-22', '2016-08-31_13-38-21', '2016-08-31_13-42-05', '2016-08-31_13-45-17', '2016-08-31_13-56-17', '2016-08-31_14-03-09', '2016-08-31_14-28-42', '2016-08-31_14-31-04']",0.0,766,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band004,2,"[1, 2, 3, 4, 6]",1,1.0,0.0,0.862068965517,0.533333333333,1.0,2.0,0.690476190476,0.357142857143
1129,"[None, None, None, 'band004_am_tuning_curve_20160831d.h5', 'band004_am_tuning_curve_20160831e.h5', 'band004_bandwidth_am_20160831f.h5', None, None]",4,2016-08-31,1075,"['2016-08-31_13-35-22', '2016-08-31_13-38-21', '2016-08-31_13-42-05', '2016-08-31_13-45-17', '2016-08-31_13-56-17', '2016-08-31_14-03-09', '2016-08-31_14-28-42', '2016-08-31_14-31-04']",0.0072223025,13847,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band004,3,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.381443298969,0.4375,0.0,0.0,4.61904761905,2.28571428571
1130,"[None, None, None, 'band004_am_tuning_curve_20160831d.h5', 'band004_am_tuning_curve_20160831e.h5', 'band004_bandwidth_am_20160831f.h5', None, None]",5,2016-08-31,1075,"['2016-08-31_13-35-22', '2016-08-31_13-38-21', '2016-08-31_13-42-05', '2016-08-31_13-45-17', '2016-08-31_13-56-17', '2016-08-31_14-03-09', '2016-08-31_14-28-42', '2016-08-31_14-31-04']",0.0037366415,26763,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band004,3,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.060384263495,0.0,4.0,inf,26.0238095238,28.0
1146,[None],3,2016-08-31,1125,['2016-08-31_15-03-31'],0.0,252,['laserPulse'],band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1149,[None],3,2016-08-31,1125,['2016-08-31_15-03-31'],0.0,327,['laserPulse'],band004,3,"[1, 2, 3, 4, 6]",1,,,,,,,,
1153,[None],3,2016-08-31,1125,['2016-08-31_15-03-31'],0.4341534009,1383,['laserPulse'],band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1154,[None],4,2016-08-31,1125,['2016-08-31_15-03-31'],0.3802281369,527,['laserPulse'],band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1168,"[None, None, None, 'band004_am_tuning_curve_20160831g.h5', 'band004_am_tuning_curve_20160831h.h5', 'band004_bandwidth_am_20160831i.h5', None]",5,2016-08-31,1175,"['2016-08-31_15-12-46', '2016-08-31_15-15-39', '2016-08-31_15-19-12', '2016-08-31_15-21-02', '2016-08-31_15-34-55', '2016-08-31_15-44-06', '2016-08-31_16-02-47']",0.362849322,15710,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse']",band004,2,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.214829396325,0.340425531915,0.25,0.0,16.3870967742,15.6666666667
1176,"[None, None, None, 'band004_am_tuning_curve_20160831g.h5', 'band004_am_tuning_curve_20160831h.h5', 'band004_bandwidth_am_20160831i.h5', None]",2,2016-08-31,1175,"['2016-08-31_15-12-46', '2016-08-31_15-15-39', '2016-08-31_15-19-12', '2016-08-31_15-21-02', '2016-08-31_15-34-55', '2016-08-31_15-44-06', '2016-08-31_16-02-47']",0.0,8723,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse']",band004,4,"[1, 2, 3, 4, 6]",1,0.0,0.0,1.0,1.0,0.5,2.0,0.0333333333333,0.0322580645161
1186,"[None, None, None, 'band004_am_tuning_curve_20160831g.h5', 'band004_am_tuning_curve_20160831h.h5', 'band004_bandwidth_am_20160831i.h5', None]",6,2016-08-31,1175,"['2016-08-31_15-12-46', '2016-08-31_15-15-39', '2016-08-31_15-19-12', '2016-08-31_15-21-02', '2016-08-31_15-34-55', '2016-08-31_15-44-06', '2016-08-31_16-02-47']",0.0954767872,16759,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse']",band004,6,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.908333333333,0.847533632287,0.0,0.0,16.0,7.43333333333
1190,"[None, None]",2,2016-09-09,1000,"['2016-09-09_12-13-45', '2016-09-09_12-15-46']",0.0,382,"['laserPulse', 'laserPulse']",band004,3,"[2, 3, 4, 5, 6]",1,,,,,,,,
1203,"[None, None, None, None, 'band004_am_tuning_curve_20160909a.h5', 'band004_am_tuning_curve_20160909b.h5', 'band004_bandwidth_am_20160909c.h5']",6,2016-09-09,1050,"['2016-09-09_12-21-44', '2016-09-09_12-24-22', '2016-09-09_12-26-44', '2016-09-09_12-28-54', '2016-09-09_12-31-18', '2016-09-09_12-46-07', '2016-09-09_12-52-18']",0.0706143448,9914,"['laserPulse', 'laserTrain', 'noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth']",band004,2,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.522613065327,0.317261904762,2.0,1.0,6.63333333333,5.41935483871
1213,"[None, None, None, None, 'band004_am_tuning_curve_20160909a.h5', 'band004_am_tuning_curve_20160909b.h5', 'band004_bandwidth_am_20160909c.h5']",4,2016-09-09,1050,"['2016-09-09_12-21-44', '2016-09-09_12-24-22', '2016-09-09_12-26-44', '2016-09-09_12-28-54', '2016-09-09_12-31-18', '2016-09-09_12-46-07', '2016-09-09_12-52-18']",0.0,7859,"['laserPulse', 'laserTrain', 'noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth']",band004,4,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.375545851528,0.655555555556,0.25,0.5,7.63333333333,6.1935483871
1230,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",3,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0,9267,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,2,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.617532467532,0.928057553957,0.5,1.0,4.96774193548,4.63333333333
1235,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",2,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0071214927,14043,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,3,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.0844155844156,0.234899328859,0.0,0.0,5.13333333333,4.96666666667
1236,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",3,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0,1990,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,3,"[2, 3, 4, 5, 6]",1,1.0,0.0,0.288888888889,0.968944099379,1.0,0.5,1.5,5.36666666667
1245,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",6,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0,15980,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,4,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.239766081871,0.186206896552,0.25,0.0,5.7,4.83333333333
1247,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",2,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0402171727,4974,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,5,"[2, 3, 4, 5, 6]",1,1.0,0.0,0.310810810811,0.236363636364,2.0,2.0,2.46666666667,1.83333333333
1251,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",6,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0,10789,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,5,"[2, 3, 4, 5, 6]",1,0.0,0.0,0.152866242038,0.130434782609,0.0,2.0,5.23333333333,5.36666666667
1255,"[None, None, None, 'band004_am_tuning_curve_20160909d.h5', 'band004_am_tuning_curve_20160909e.h5', None, 'band004_bandwidth_am_20160909f.h5']",4,2016-09-09,1051,"['2016-09-09_13-11-00', '2016-09-09_13-14-24', '2016-09-09_13-17-03', '2016-09-09_13-19-18', '2016-09-09_13-30-44', '2016-09-09_13-36-54', '2016-09-09_13-40-30']",0.0127345275,23559,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'bandwidth']",band004,6,"[2, 3, 4, 5, 6]",1,1.0,1.0,0.0594315245478,0.334323922734,2.0,1.0,12.9,22.4333333333
1259,"[None, None]",2,2016-09-09,1150,"['2016-09-09_14-10-45', '2016-09-09_14-13-42']",0.0,166,"['laserPulse', 'laserTrain']",band004,1,"[1, 2, 3, 4, 6]",1,,,,,,,,
1265,"[None, None]",2,2016-09-09,1150,"['2016-09-09_14-10-45', '2016-09-09_14-13-42']",0.0,669,"['laserPulse', 'laserTrain']",band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1267,"[None, None]",4,2016-09-09,1150,"['2016-09-09_14-10-45', '2016-09-09_14-13-42']",0.0,109,"['laserPulse', 'laserTrain']",band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1270,"[None, None]",2,2016-09-09,1150,"['2016-09-09_14-10-45', '2016-09-09_14-13-42']",0.0,1241,"['laserPulse', 'laserTrain']",band004,3,"[1, 2, 3, 4, 6]",1,,,,,,,,
1273,"[None, None]",5,2016-09-09,1150,"['2016-09-09_14-10-45', '2016-09-09_14-13-42']",0.0,373,"['laserPulse', 'laserTrain']",band004,3,"[1, 2, 3, 4, 6]",1,,,,,,,,
1276,"[None, None]",3,2016-09-09,1150,"['2016-09-09_14-10-45', '2016-09-09_14-13-42']",0.0,653,"['laserPulse', 'laserTrain']",band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1289,"[None, None, None, 'band004_am_tuning_curve_20160909g.h5', 'band004_am_tuning_curve_20160909h.h5', None, None, 'band004_bandwidth_am_20160909i.h5', 'band004_bandwidth_am_20160909j.h5']",5,2016-09-09,1220,"['2016-09-09_14-22-39', '2016-09-09_14-24-51', '2016-09-09_14-27-09', '2016-09-09_14-30-16', '2016-09-09_14-40-55', '2016-09-09_14-47-05', '2016-09-09_14-50-18', '2016-09-09_14-52-40', '2016-09-09_15-15-06']",0.0794503902,21398,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,1,"[1, 3, 4, 6]",1,0.0,0.0,0.0,0.103199174407,inf,4.0,13.2727272727,10.3636363636
1295,"[None, None, None, 'band004_am_tuning_curve_20160909g.h5', 'band004_am_tuning_curve_20160909h.h5', None, None, 'band004_bandwidth_am_20160909i.h5', 'band004_bandwidth_am_20160909j.h5']",5,2016-09-09,1220,"['2016-09-09_14-22-39', '2016-09-09_14-24-51', '2016-09-09_14-27-09', '2016-09-09_14-30-16', '2016-09-09_14-40-55', '2016-09-09_14-47-05', '2016-09-09_14-50-18', '2016-09-09_14-52-40', '2016-09-09_15-15-06']",0.0457418496,24049,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,3,"[1, 3, 4, 6]",1,0.0,0.0,0.155963302752,0.0,0.0,inf,6.60606060606,13.2941176471
1296,"[None, None, None, 'band004_am_tuning_curve_20160909g.h5', 'band004_am_tuning_curve_20160909h.h5', None, None, 'band004_bandwidth_am_20160909i.h5', 'band004_bandwidth_am_20160909j.h5']",6,2016-09-09,1220,"['2016-09-09_14-22-39', '2016-09-09_14-24-51', '2016-09-09_14-27-09', '2016-09-09_14-30-16', '2016-09-09_14-40-55', '2016-09-09_14-47-05', '2016-09-09_14-50-18', '2016-09-09_14-52-40', '2016-09-09_15-15-06']",0.5477135237,76866,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,3,"[1, 3, 4, 6]",1,0.0,1.0,0.119257086999,0.100422832981,1.0,2.0,23.7058823529,27.8235294118
1300,"[None, None, None, 'band004_am_tuning_curve_20160909g.h5', 'band004_am_tuning_curve_20160909h.h5', None, None, 'band004_bandwidth_am_20160909i.h5', 'band004_bandwidth_am_20160909j.h5']",4,2016-09-09,1220,"['2016-09-09_14-22-39', '2016-09-09_14-24-51', '2016-09-09_14-27-09', '2016-09-09_14-30-16', '2016-09-09_14-40-55', '2016-09-09_14-47-05', '2016-09-09_14-50-18', '2016-09-09_14-52-40', '2016-09-09_15-15-06']",0.2171095269,61721,"['laserPulse', 'laserTrain', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,4,"[1, 3, 4, 6]",1,0.0,1.0,0.48127340824,0.691908713693,0.0,0.0,16.1818181818,14.6060606061
1312,"[None, None]",3,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.0,368,"['laserPulse', 'noisebursts']",band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1314,"[None, None]",5,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.0,2729,"['laserPulse', 'noisebursts']",band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1315,"[None, None]",6,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.0,937,"['laserPulse', 'noisebursts']",band004,2,"[1, 2, 3, 4, 6]",1,,,,,,,,
1321,"[None, None]",4,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.0,215,"['laserPulse', 'noisebursts']",band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1322,"[None, None]",5,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.0,471,"['laserPulse', 'noisebursts']",band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1323,"[None, None]",6,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.0,1224,"['laserPulse', 'noisebursts']",band004,4,"[1, 2, 3, 4, 6]",1,,,,,,,,
1326,"[None, None]",3,2016-09-11,1066,"['2016-09-11_12-18-25', '2016-09-11_12-21-51']",0.180342651,1110,"['laserPulse', 'noisebursts']",band004,6,"[1, 2, 3, 4, 6]",1,,,,,,,,
